,seed_repo_owner,seed_repo_name,package_name,package_repo_owner,package_repo_name,package_source
39,sigp,lighthouse,libsecp256k1-gen-genmult,paritytech,libsecp256k1,CARGO
40,sigp,lighthouse,vec_map,contain-rs,vec-map,CARGO
41,sigp,lighthouse,libflate,sile,libflate,CARGO
42,wevm,viem,fastq,mcollina,fastq,NPM
43,wevm,viem,safe-regex2,fastify,safe-regex2,NPM
44,wevm,viem,rehype-autolink-headings,rehypejs,rehype-autolink-headings,NPM
45,wevm,viem,@babel/helper-function-name,babel,babel,NPM
46,wevm,viem,on-finished,jshttp,on-finished,NPM
47,wevm,viem,micromark-extension-gfm-autolink-literal,micromark,micromark-extension-gfm-autolink-literal,NPM
48,ethereum,go-ethereum,github.com/hashicorp/go-cleanhttp,hashicorp,go-cleanhttp,GOLANG
49,ethereum,go-ethereum,github.com/peterh/liner,peterh,liner,GOLANG
50,ethereum,remix-project,web-namespaces,wooorm,web-namespaces,NPM
51,ethereum,remix-project,set-function-name,ljharb,set-function-name,NPM
52,ethereum,remix-project,snapdragon-util,here-be,snapdragon-util,NPM
53,ethereum,remix-project,is-extendable,jonschlinkert,is-extendable,NPM
54,ethereum,remix-project,@remix-project/remix-simulator,ethereum,remix-project,NPM
55,ethereum,remix-project,spawn-wrap,istanbuljs,spawn-wrap,NPM
56,ethereum,remix-project,ethereum-cryptography,ethereum,js-ethereum-cryptography,NPM
57,ethereum,remix-project,minimalistic-assert,calvinmetcalf,minimalistic-assert,NPM
58,ethereum,remix-project,@remix-project/remix-ws-templates,ethereum,remix-project,NPM
59,ethereum,remix-project,pkg-types,unjs,pkg-types,NPM
60,ethereum,remix-project,swarm-js,maiavictor,swarm-js,NPM
61,ethereum,remix-project,ipfs-http-client,ipfs,js-ipfs,NPM
62,ethereum,remix-project,web3-core-requestmanager,chainsafe,web3.js,NPM
63,ethereum,remix-project,@ethereumjs/blockchain,ethereumjs,ethereumjs-monorepo,NPM
64,ethereum,remix-project,@svgr/babel-plugin-svg-dynamic-title,gregberge,svgr,NPM
65,ethereum,remix-project,ace-mode-zokrates,dark64,ace-mode-zokrates,NPM
66,ethereum,remix-project,eslint-plugin-import,benmosher,eslint-plugin-import,NPM
67,ethereum,remix-project,is-hex-prefixed,silentcicero,is-hex-prefixed,NPM
68,ethereum,remix-project,@types/invariant,definitelytyped,definitelytyped,NPM
69,ethereum,remix-project,p-retry,sindresorhus,p-retry,NPM
70,ethereum,remix-project,@stablelib/hmac,stablelib,stablelib,NPM
71,ethereum,remix-project,emittery,sindresorhus,emittery,NPM
72,ethereum,remix-project,yargs-unparser,yargs,yargs-unparser,NPM
73,ethereum,remix-project,harmony-reflect,tvcutsem,harmony-reflect,NPM
74,ethereum,remix-project,collect-v8-coverage,simenb,collect-v8-coverage,NPM
75,ethereum,remix-project,tsort,,,NPM
76,ethereum,remix-project,babel-plugin-check-es2015-constants,babel,babel,NPM
77,ethereum,remix-project,loupe,chaijs,loupe,NPM
78,ethereum,remix-project,memory-stream,doanythingfordethklok,memory-stream,NPM
79,ethereum,remix-project,path-parse,jbgutierrez,path-parse,NPM
80,ethereum,remix-project,balanced-match,juliangruber,balanced-match,NPM
81,ethereum,remix-project,@types/history,definitelytyped,definitelytyped,NPM
82,ethereum,remix-project,is64bit,sindresorhus,is64bit,NPM
83,ethereum,remix-project,@tufjs/canonical-json,theupdateframework,tuf-js,NPM
84,ethereum,remix-project,setprototypeof,wesleytodd,setprototypeof,NPM
85,ethereum,sourcify,@smithy/querystring-builder,awslabs,smithy-typescript,NPM
86,ethereum,sourcify,is-text-path,sindresorhus,is-text-path,NPM
87,ethereum,sourcify,import-fresh,sindresorhus,import-fresh,NPM
88,ethereum,sourcify,array-ify,stevemao,array-ify,NPM
89,ethereum,sourcify,content-type,jshttp,content-type,NPM
90,ethereum,sourcify,stack-trace,felixge,node-stack-trace,NPM
91,ethereum,sourcify,@aws-sdk/middleware-flexible-checksums,aws,aws-sdk-js-v3,NPM
92,ethereum,sourcify,unique-filename,npm,unique-filename,NPM
93,ethereum,sourcify,is-inside-container,sindresorhus,is-inside-container,NPM
94,ethereum,sourcify,redent,sindresorhus,redent,NPM
95,ethereum,sourcify,@metamask/eth-sig-util,metamask,eth-sig-util,NPM
96,ethereum,sourcify,@istanbuljs/schema,istanbuljs,schema,NPM
97,ethereum,sourcify,neo-async,suguru03,neo-async,NPM
98,ethereum,sourcify,@octokit/plugin-request-log,octokit,plugin-request-log.js,NPM
99,ethereum,sourcify,istanbul-lib-report,istanbuljs,istanbuljs,NPM
100,ethereum,fe,rayon,rayon-rs,rayon,CARGO
101,ethereum,fe,digest,rustcrypto,traits,CARGO
102,ethereum,fe,utf8_iter,hsivonen,utf8_iter,CARGO
103,chainsafe,lodestar,d3-ease,d3,d3-ease,NPM
104,chainsafe,lodestar,race-signal,achingbrain,race-signal,NPM
105,chainsafe,lodestar,lodash.isplainobject,lodash,lodash,NPM
106,chainsafe,lodestar,hexoid,lukeed,hexoid,NPM
107,chainsafe,lodestar,@scure/bip39,paulmillr,scure-bip39,NPM
108,chainsafe,lodestar,@types/triple-beam,definitelytyped,definitelytyped,NPM
109,chainsafe,lodestar,ws,websockets,ws,NPM
110,chainsafe,lodestar,globals,sindresorhus,globals,NPM
111,chainsafe,lodestar,diff-sequences,jestjs,jest,NPM
112,chainsafe,lodestar,immediate,calvinmetcalf,immediate,NPM
113,chainsafe,lodestar,@types/http-proxy,definitelytyped,definitelytyped,NPM
114,chainsafe,lodestar,it-foreach,achingbrain,it,NPM
115,chainsafe,lodestar,serve-index,expressjs,serve-index,NPM
116,chainsafe,lodestar,@types/js-yaml,definitelytyped,definitelytyped,NPM
117,chainsafe,lodestar,@babel/plugin-syntax-typescript,babel,babel,NPM
118,chainsafe,lodestar,has-symbols,inspect-js,has-symbols,NPM
119,chainsafe,lodestar,binary,substack,node-binary,NPM
120,chainsafe,lodestar,big.js,mikemcl,big.js,NPM
121,chainsafe,lodestar,@types/wrap-ansi,definitelytyped,definitelytyped,NPM
122,chainsafe,lodestar,wait-port,dwmkerr,wait-port,NPM
123,chainsafe,lodestar,section-matter,jonschlinkert,section-matter,NPM
124,chainsafe,lodestar,string-width,sindresorhus,string-width,NPM
125,chainsafe,lodestar,@babel/plugin-transform-literals,babel,babel,NPM
126,chainsafe,lodestar,@esbuild/linux-ppc64,evanw,esbuild,NPM
127,chainsafe,lodestar,@ethereumjs/trie,ethereumjs,ethereumjs-monorepo,NPM
128,chainsafe,lodestar,stream-to-it,alanshaw,stream-to-it,NPM
129,chainsafe,lodestar,glob-parent,gulpjs,glob-parent,NPM
130,consensys,teku,json-schema-traverse,epoberezkin,json-schema-traverse,NPM
131,consensys,teku,enquirer,enquirer,enquirer,NPM
132,consensys,teku,concat-map,ljharb,concat-map,NPM
133,ethers-io,ethers.js,color-name,colorjs,color-name,NPM
134,vyperlang,titanoboa,eth-abi,ethereum,eth-abi,PYPI
135,erigontech,erigon,github.com/decred/dcrd/dcrec/secp256k1/v4,decred,dcrd,GOLANG
136,erigontech,erigon,github.com/ipfs/go-cid,ipfs,go-cid,GOLANG
137,erigontech,erigon,github.com/go-llsqlite/adapter,go-llsqlite,adapter,GOLANG
138,erigontech,erigon,github.com/minio/sha256-simd,minio,sha256-simd,GOLANG
139,erigontech,erigon,github.com/mattn/go-colorable,mattn,go-colorable,GOLANG
140,ethereumjs,ethereumjs-monorepo,es-to-primitive,ljharb,es-to-primitive,NPM
141,ethereumjs,ethereumjs-monorepo,linkify-it,markdown-it,linkify-it,NPM
142,ethereumjs,ethereumjs-monorepo,brace-expansion,juliangruber,brace-expansion,NPM
143,ethereumjs,ethereumjs-monorepo,msw,mswjs,msw,NPM
144,ethereumjs,ethereumjs-monorepo,css-value,visionmedia,css-value,NPM
145,ethereumjs,ethereumjs-monorepo,@biomejs/cli-linux-arm64-musl,biomejs,biome,NPM
146,ethereumjs,ethereumjs-monorepo,@vitest/runner,vitest-dev,vitest,NPM
147,ethereumjs,ethereumjs-monorepo,dotignore,bmeck,dotignore,NPM
148,ethereumjs,ethereumjs-monorepo,@shikijs/vscode-textmate,shikijs,vscode-textmate,NPM
149,ethereumjs,ethereumjs-monorepo,yargs-parser,yargs,yargs-parser,NPM
150,ethereumjs,ethereumjs-monorepo,@zip.js/zip.js,gildas-lormeau,zip.js,NPM
151,ethereumjs,ethereumjs-monorepo,is-bigint,inspect-js,is-bigint,NPM
152,ethereumjs,ethereumjs-monorepo,https-proxy-agent,tootallnate,proxy-agents,NPM
153,foundry-rs,foundry,rayon,rayon-rs,rayon,CARGO
154,foundry-rs,foundry,hidapi-rusb,joshiedo,hidapi-rs,CARGO
155,foundry-rs,foundry,async_io_stream,najamelan,async_io_stream,CARGO
156,foundry-rs,foundry,sha1_smol,mitsuhiko,sha1-smol,CARGO
157,foundry-rs,foundry,miette-derive,zkat,miette,CARGO
158,foundry-rs,foundry,strip-ansi-escapes,luser,strip-ansi-escapes,CARGO
159,foundry-rs,foundry,alloy-sol-macro-expander,alloy-rs,core,CARGO
160,paradigmxyz,reth,serde_with_macros,jonasbb,serde_with,CARGO
161,paradigmxyz,reth,enumn,dtolnay,enumn,CARGO
162,paradigmxyz,reth,jni,jni-rs,jni-rs,CARGO
163,paradigmxyz,reth,multihash,multiformats,rust-multihash,CARGO
164,paradigmxyz,reth,matchers,hawkw,matchers,CARGO
165,paradigmxyz,reth,libc,rust-lang,libc,CARGO
166,safe-global,safe-smart-account,kind-of,jonschlinkert,kind-of,NPM
167,safe-global,safe-smart-account,loupe,chaijs,loupe,NPM
168,safe-global,safe-smart-account,resolve-from,sindresorhus,resolve-from,NPM
169,safe-global,safe-smart-account,nise,sinonjs,nise,NPM
170,grandinetech,grandine,ring,briansmith,ring,CARGO
171,grandinetech,grandine,xmltree,eminence,xmltree-rs,CARGO
172,grandinetech,grandine,axum-core,tokio-rs,axum,CARGO
173,grandinetech,grandine,constant_time_eq,cesarb,constant_time_eq,CARGO
174,grandinetech,grandine,soketto,paritytech,soketto,CARGO
175,grandinetech,grandine,icu_locid_transform_data,unicode-org,icu4x,CARGO
176,grandinetech,grandine,quickcheck_macros,burntsushi,quickcheck,CARGO
177,openzeppelin,openzeppelin-contracts,esutils,estools,esutils,NPM
178,openzeppelin,openzeppelin-contracts,@nodelib/fs.walk,nodelib,nodelib,NPM
179,openzeppelin,openzeppelin-contracts,array.prototype.findlast,es-shims,array.prototype.findlast,NPM
180,openzeppelin,openzeppelin-contracts,acorn-jsx,acornjs,acorn-jsx,NPM
181,scaffold-eth,scaffold-eth-2,@types/qs,definitelytyped,definitelytyped,NPM
182,scaffold-eth,scaffold-eth-2,prettier-linter-helpers,prettier,prettier-linter-helpers,NPM
183,scaffold-eth,scaffold-eth-2,@edge-runtime/vm,vercel,edge-runtime,NPM
184,scaffold-eth,scaffold-eth-2,@vercel/routing-utils,vercel,vercel,NPM
185,scaffold-eth,scaffold-eth-2,hmac-drbg,indutny,hmac-drbg,NPM
186,scaffold-eth,scaffold-eth-2,array.prototype.findlastindex,es-shims,array.prototype.findlastindex,NPM
187,scaffold-eth,scaffold-eth-2,media-query-parser,tbjgolden,media-query-parser,NPM
188,scaffold-eth,scaffold-eth-2,@nomicfoundation/edr-win32-x64-msvc,nomicfoundation,edr,NPM
189,scaffold-eth,scaffold-eth-2,eslint,eslint,eslint,NPM
190,ethereum,go-ethereum,github.com/microsoft/go-winio,microsoft,go-winio,GOLANG
191,ethereum,go-ethereum,github.com/holiman/uint256,holiman,uint256,GOLANG
192,ethereum,go-ethereum,github.com/aws/aws-sdk-go-v2/service/sso,aws,aws-sdk-go-v2,GOLANG
193,ethereum,remix-project,methods,jshttp,methods,NPM
194,ethereum,remix-project,@svgr/core,gregberge,svgr,NPM
195,ethereum,remix-project,reselect,reduxjs,reselect,NPM
196,ethereum,remix-project,lodash.debounce,lodash,lodash,NPM
197,ethereum,remix-project,web3-core-subscriptions,ethereum,web3.js,NPM
198,ethereum,remix-project,fraction.js,rawify,fraction.js,NPM
199,ethereum,remix-project,title-case,blakeembrey,change-case,NPM
200,ethereum,remix-project,humanize-ms,node-modules,humanize-ms,NPM
201,ethereum,remix-project,mkdirp-promise,ahmadnassri,mkdirp-promise,NPM
202,ethereum,remix-project,lodash.templatesettings,lodash,lodash,NPM
203,ethereum,remix-project,less-loader,webpack-contrib,less-loader,NPM
204,ethereum,remix-project,eslint-plugin-jsx-a11y,jsx-eslint,eslint-plugin-jsx-a11y,NPM
205,ethereum,remix-project,wasmcurves,iden3,wasmcurves,NPM
206,ethereum,remix-project,find-process,yibn2008,find-process,NPM
207,ethereum,remix-project,figures,sindresorhus,figures,NPM
208,ethereum,remix-project,acorn-walk,acornjs,acorn,NPM
209,ethereum,remix-project,@stablelib/int,stablelib,stablelib,NPM
210,ethereum,remix-project,xmlhttprequest,driverdan,node-xmlhttprequest,NPM
211,ethereum,remix-project,solc,ethereum,solc-js,NPM
212,ethereum,remix-project,micromark-util-decode-numeric-character-reference,micromark,micromark,NPM
213,ethereum,remix-project,esniff,medikoo,esniff,NPM
214,ethereum,remix-project,buffer-xor,crypto-browserify,buffer-xor,NPM
215,ethereum,remix-project,run,dtrejo,run.js,NPM
216,ethereum,remix-project,minimalistic-crypto-utils,indutny,minimalistic-crypto-utils,NPM
217,ethereum,remix-project,@npmcli/fs,npm,fs,NPM
218,ethereum,remix-project,ace-mode-lexon,,,NPM
219,ethereum,remix-project,is-path-inside,sindresorhus,is-path-inside,NPM
220,ethereum,remix-project,@lerna/log-packed,lerna,lerna,NPM
221,ethereum,remix-project,cross-env,kentcdodds,cross-env,NPM
222,ethereum,remix-project,@xmldom/xmldom,xmldom,xmldom,NPM
223,ethereum,remix-project,core-js,zloirock,core-js,NPM
224,ethereum,remix-project,@babel/generator,babel,babel,NPM
225,ethereum,remix-project,default-gateway,silverwind,default-gateway,NPM
226,ethereum,remix-project,@babel/helper-environment-visitor,babel,babel,NPM
227,ethereum,remix-project,har-validator,ahmadnassri,node-har-validator,NPM
228,ethereum,remix-project,react-textarea-autosize,andarist,react-textarea-autosize,NPM
229,ethereum,remix-project,pathe,unjs,pathe,NPM
230,ethereum,remix-project,editor,substack,node-editor,NPM
231,ethereum,remix-project,remedial,,,NPM
232,ethereum,sourcify,@ethersproject/base64,ethers-io,ethers.js,NPM
233,ethereum,sourcify,nx,nrwl,nx,NPM
234,ethereum,sourcify,google-auth-library,googleapis,google-auth-library-nodejs,NPM
235,ethereum,sourcify,@smithy/util-stream,awslabs,smithy-typescript,NPM
236,ethereum,sourcify,cbor-x,kriszyp,cbor-x,NPM
237,ethereum,sourcify,typedarray,es-shims,typedarray,NPM
238,ethereum,sourcify,set-blocking,yargs,set-blocking,NPM
239,ethereum,sourcify,character-entities-legacy,wooorm,character-entities-legacy,NPM
240,ethereum,sourcify,body-parser,expressjs,body-parser,NPM
241,ethereum,sourcify,db-migrate-shared,db-migrate,shared,NPM
242,ethereum,sourcify,@nomicfoundation/solidity-analyzer-linux-arm64-gnu,nomicfoundation,solidity-analyzer,NPM
243,ethereum,sourcify,@cspell/dict-fsharp,streetsidesoftware,cspell-dicts,NPM
244,ethereum,sourcify,@tsconfig/node10,tsconfig,bases,NPM
245,ethereum,fe,num-rational,rust-num,num-rational,CARGO
246,prysmaticlabs,prysm,github.com/prometheus/client_model,prometheus,client_model,GOLANG
247,prysmaticlabs,prysm,go.uber.org/dig,uber-go,dig,GOLANG
248,eth-infinitism,account-abstraction,natural-compare,litejs,natural-compare-lite,NPM
249,eth-infinitism,account-abstraction,browserify-des,crypto-browserify,browserify-des,NPM
250,eth-infinitism,account-abstraction,buffer-xor,crypto-browserify,buffer-xor,NPM
251,eth-infinitism,account-abstraction,json-rpc-error,claudijo,json-rpc-error,NPM
252,eth-infinitism,account-abstraction,antlr4ts,tunnelvisionlabs,antlr4ts,NPM
253,eth-infinitism,account-abstraction,@types/pbkdf2,definitelytyped,definitelytyped,NPM
254,eth-infinitism,account-abstraction,catering,vweevers,catering,NPM
255,eth-infinitism,account-abstraction,es-shim-unscopables,ljharb,es-shim-unscopables,NPM
256,eth-infinitism,account-abstraction,web3-core-helpers,ethereum,web3.js,NPM
257,eth-infinitism,account-abstraction,level-transcoder,level,transcoder,NPM
258,eth-infinitism,account-abstraction,seedrandom,davidbau,seedrandom,NPM
259,nomicfoundation,hardhat,babel-plugin-polyfill-regenerator,babel,babel-polyfills,NPM
260,nomicfoundation,hardhat,section-matter,jonschlinkert,section-matter,NPM
261,nomicfoundation,hardhat,errno,rvagg,node-errno,NPM
262,nomicfoundation,hardhat,requires-port,unshiftio,requires-port,NPM
263,nomicfoundation,hardhat,tslib,microsoft,tslib,NPM
264,nomicfoundation,hardhat,@ethereumjs/tx,ethereumjs,ethereumjs-monorepo,NPM
265,nomicfoundation,hardhat,web3-rpc-methods,chainsafe,web3.js,NPM
266,nomicfoundation,hardhat,path-is-absolute,sindresorhus,path-is-absolute,NPM
267,nomicfoundation,hardhat,@mdx-js/util,mdx-js,mdx,NPM
268,nomicfoundation,hardhat,iterate-value,ljharb,iterate-value,NPM
269,nomicfoundation,hardhat,http-signature,tritondatacenter,node-http-signature,NPM
270,nomicfoundation,hardhat,d3-path,d3,d3-path,NPM
271,nomicfoundation,hardhat,d3-quadtree,d3,d3-quadtree,NPM
272,nomicfoundation,hardhat,@types/tapable,definitelytyped,definitelytyped,NPM
273,nomicfoundation,hardhat,@rushstack/eslint-patch,microsoft,rushstack,NPM
274,nomicfoundation,hardhat,cors,expressjs,cors,NPM
275,nomicfoundation,hardhat,bindings,tootallnate,node-bindings,NPM
276,nomicfoundation,hardhat,ethereum-cryptography,ethereum,js-ethereum-cryptography,NPM
277,nomicfoundation,hardhat,typescript,microsoft,typescript,NPM
278,nomicfoundation,hardhat,@vue/babel-helper-vue-jsx-merge-props,vuejs,jsx,NPM
279,nomicfoundation,hardhat,which-module,nexdrew,which-module,NPM
280,nomicfoundation,hardhat,hast-to-hyperscript,syntax-tree,hast-to-hyperscript,NPM
281,nomicfoundation,hardhat,ext,medikoo,es5-ext,NPM
282,nomicfoundation,hardhat,header-case,blakeembrey,change-case,NPM
283,nomicfoundation,hardhat,is-path-inside,sindresorhus,is-path-inside,NPM
284,nomicfoundation,hardhat,proto-list,isaacs,proto-list,NPM
285,chainsafe,lodestar,@nx/nx-linux-x64-musl,nrwl,nx,NPM
286,chainsafe,lodestar,npm-run-all,mysticatea,npm-run-all,NPM
287,chainsafe,lodestar,b4a,holepunchto,b4a,NPM
288,chainsafe,lodestar,@ethereumjs/tx,ethereumjs,ethereumjs-monorepo,NPM
289,chainsafe,lodestar,dom-serializer,cheeriojs,dom-serializer,NPM
290,chainsafe,lodestar,classic-level,level,classic-level,NPM
291,chainsafe,lodestar,aws-sdk,aws,aws-sdk-js,NPM
292,chainsafe,lodestar,@emnapi/core,toyobayashi,emnapi,NPM
293,chainsafe,lodestar,@swc/types,swc-project,swc,NPM
294,chainsafe,lodestar,is-fullwidth-code-point,sindresorhus,is-fullwidth-code-point,NPM
295,chainsafe,lodestar,xtend,raynos,xtend,NPM
296,chainsafe,lodestar,@types/aria-query,definitelytyped,definitelytyped,NPM
297,chainsafe,lodestar,webpack-merge,survivejs,webpack-merge,NPM
298,chainsafe,lodestar,@fastify/swagger,fastify,fastify-swagger,NPM
299,chainsafe,lodestar,unicode-canonical-property-names-ecmascript,mathiasbynens,unicode-canonical-property-names-ecmascript,NPM
300,chainsafe,lodestar,@babel/plugin-transform-unicode-sets-regex,babel,babel,NPM
301,chainsafe,lodestar,@vitest/runner,vitest-dev,vitest,NPM
302,chainsafe,lodestar,safer-buffer,chalker,safer-buffer,NPM
303,chainsafe,lodestar,micromark-extension-mdx-jsx,micromark,micromark-extension-mdx-jsx,NPM
304,chainsafe,lodestar,@pnpm/npm-conf,pnpm,npm-conf,NPM
305,consensys,teku,type-fest,sindresorhus,type-fest,NPM
306,ethers-io,ethers.js,@rollup/plugin-node-resolve,rollup,plugins,NPM
307,a16z,helios,freetype-sys,pistondevelopers,freetype-sys,CARGO
308,a16z,helios,pin-project-lite,taiki-e,pin-project-lite,CARGO
309,a16z,helios,sct,rustls,sct.rs,CARGO
310,a16z,helios,futures-sink,rust-lang,futures-rs,CARGO
311,a16z,helios,crossbeam-epoch,crossbeam-rs,crossbeam,CARGO
312,a16z,helios,libp2p-allow-block-list,libp2p,rust-libp2p,CARGO
313,a16z,helios,tokio,tokio-rs,tokio,CARGO
314,a16z,helios,lru,jeromefroe,lru-rs,CARGO
315,a16z,helios,chrono,chronotope,chrono,CARGO
316,sigp,lighthouse,anstream,rust-cli,anstyle,CARGO
317,sigp,lighthouse,nom,rust-bakery,nom,CARGO
318,sigp,lighthouse,windows_aarch64_msvc,microsoft,windows-rs,CARGO
319,sigp,lighthouse,rlp,paritytech,parity-common,CARGO
320,sigp,lighthouse,synstructure,mystor,synstructure,CARGO
321,sigp,lighthouse,arrayref,droundy,arrayref,CARGO
322,sigp,lighthouse,libp2p-tls,libp2p,rust-libp2p,CARGO
323,sigp,lighthouse,libmdbx,vorot93,libmdbx-rs,CARGO
324,grandinetech,grandine,async-process,smol-rs,async-process,CARGO
325,grandinetech,grandine,thread_local,amanieu,thread_local-rs,CARGO
326,grandinetech,grandine,libp2p-quic,libp2p,rust-libp2p,CARGO
327,grandinetech,grandine,bumpalo,fitzgen,bumpalo,CARGO
328,grandinetech,grandine,ciborium-ll,enarx,ciborium,CARGO
329,openzeppelin,openzeppelin-contracts,follow-redirects,follow-redirects,follow-redirects,NPM
330,openzeppelin,openzeppelin-contracts,string-argv,mccormicka,string-argv,NPM
331,openzeppelin,openzeppelin-contracts,typed-array-byte-offset,inspect-js,typed-array-byte-offset,NPM
332,openzeppelin,openzeppelin-contracts,require-from-string,floatdrop,require-from-string,NPM
333,openzeppelin,openzeppelin-contracts,array.prototype.flat,es-shims,array.prototype.flat,NPM
334,openzeppelin,openzeppelin-contracts,abbrev,npm,abbrev-js,NPM
335,openzeppelin,openzeppelin-contracts,meow,sindresorhus,meow,NPM
336,wevm,viem,is-extglob,jonschlinkert,is-extglob,NPM
337,wevm,viem,@vitest/runner,vitest-dev,vitest,NPM
338,wevm,viem,sherif-darwin-arm64,quiibz,sherif,NPM
339,wevm,viem,magicast,unjs,magicast,NPM
340,wevm,viem,@shikijs/engine-oniguruma,shikijs,shiki,NPM
341,wevm,viem,bcp-47-match,wooorm,bcp-47-match,NPM
342,safe-global,safe-smart-account,ethers,ethers-io,ethers.js,NPM
343,safe-global,safe-smart-account,@typescript-eslint/parser,typescript-eslint,typescript-eslint,NPM
344,safe-global,safe-smart-account,readdirp,paulmillr,readdirp,NPM
345,safe-global,safe-smart-account,graceful-fs,isaacs,node-graceful-fs,NPM
346,safe-global,safe-smart-account,js-tokens,lydell,js-tokens,NPM
347,safe-global,safe-smart-account,iconv-lite,ashtuchkin,iconv-lite,NPM
348,safe-global,safe-smart-account,solhint,protofire,solhint,NPM
349,safe-global,safe-smart-account,@ts-morph/common,dsherret,ts-morph,NPM
350,safe-global,safe-smart-account,core-util-is,isaacs,core-util-is,NPM
351,safe-global,safe-smart-account,typedarray,es-shims,typedarray,NPM
352,safe-global,safe-smart-account,isexe,isaacs,isexe,NPM
353,safe-global,safe-smart-account,kleur,lukeed,kleur,NPM
354,safe-global,safe-smart-account,buffer-from,linusu,buffer-from,NPM
355,scaffold-eth,scaffold-eth-2,async-sema,vercel,async-sema,NPM
356,scaffold-eth,scaffold-eth-2,utf8,mathiasbynens,utf8.js,NPM
357,scaffold-eth,scaffold-eth-2,which,npm,node-which,NPM
358,scaffold-eth,scaffold-eth-2,uint8arrays,achingbrain,uint8arrays,NPM
359,scaffold-eth,scaffold-eth-2,@walletconnect/ethereum-provider,walletconnect,walletconnect-monorepo,NPM
360,scaffold-eth,scaffold-eth-2,has-bigints,ljharb,has-bigints,NPM
361,scaffold-eth,scaffold-eth-2,css-selector-tokenizer,css-modules,css-selector-tokenizer,NPM
362,scaffold-eth,scaffold-eth-2,js-tokens,lydell,js-tokens,NPM
363,scaffold-eth,scaffold-eth-2,debug,debug-js,debug,NPM
364,scaffold-eth,scaffold-eth-2,@ethereumjs/rlp,ethereumjs,ethereumjs-monorepo,NPM
365,scaffold-eth,scaffold-eth-2,uqr,unjs,uqr,NPM
366,scaffold-eth,scaffold-eth-2,adm-zip,cthackers,adm-zip,NPM
367,scaffold-eth,scaffold-eth-2,@ethersproject/base64,ethers-io,ethers.js,NPM
368,scaffold-eth,scaffold-eth-2,ieee754,feross,ieee754,NPM
369,scaffold-eth,scaffold-eth-2,fastparse,webpack,fastparse,NPM
370,scaffold-eth,scaffold-eth-2,@motionone/easing,,,NPM
371,scaffold-eth,scaffold-eth-2,arraybuffer.prototype.slice,es-shims,arraybuffer.prototype.slice,NPM
372,alloy-rs,alloy,bytes,tokio-rs,bytes,CARGO
373,grandinetech,grandine,unsigned-varint,paritytech,unsigned-varint,CARGO
374,grandinetech,grandine,axum-extra,tokio-rs,axum,CARGO
375,grandinetech,grandine,impl-rlp,,,CARGO
